,name,geometry.location.lat,geometry.location.lng,State,Type
0,Safeway,34.2397055,-111.3174847,Arizona,Grocery
1,Heber Country Store,34.4299704,-110.5978677,Arizona,Grocery
2,Ponderosa Market,34.385171,-111.455427,Arizona,Grocery
3,Bashas',34.2420974,-111.321073,Arizona,Grocery
4,Tonto Basin Marketplace,33.8559395,-111.3108883,Arizona,Grocery
5,Rye Mercantile,34.0891277,-111.3529121,Arizona,Grocery
6,Back To Basics,34.2524287,-111.3231062,Arizona,Grocery
7,Walmart,34.2441023,-111.3243582,Arizona,Grocery
8,Safeway Bakery,34.239559,-111.3175721,Arizona,Grocery
9,Jakes Corner General Store,34.0098364,-111.319022,Arizona,Grocery
10,Walmart Supercenter,34.2440421,-111.3243724,Arizona,Grocery
11,Cherry Creek Store,34.1017761,-110.9491271,Arizona,Grocery
12,Woods Canyon Lake Store and Marina,34.333724,-110.944213,Arizona,Grocery
13,Dollar General,33.8494103,-111.3091417,Arizona,Grocery
14,Circle K,34.2546393,-111.2629835,Arizona,Grocery
15,Dollar Tree,34.2421243,-111.3209392,Arizona,Grocery
16,Circle K,34.2481289,-111.3231081,Arizona,Grocery
17,Big Lots,34.2421524,-111.3178801,Arizona,Grocery
18,Circle K,34.226757,-111.3290939,Arizona,Grocery
19,Maverik,34.2498361,-111.32177,Arizona,Grocery
20,Burger King,35.192109,-111.624197,Arizona,Fast food
21,Taco Bell,32.697157,-114.624638,Arizona,Fast food
22,Taco Bell,32.350373,-110.97579,Arizona,Fast food
23,Taco Bell,32.356885,-111.091432,Arizona,Fast food
24,Taco Bell,32.286587,-110.964259,Arizona,Fast food
25,Taco Bell,32.162055,-110.94266,Arizona,Fast food
26,Taco Bell,32.207496,-110.857543,Arizona,Fast food
27,Taco Bell,32.207496,-110.857543,Arizona,Fast food
28,Taco Bell,32.250912,-110.918865,Arizona,Fast food
29,Taco Bell,33.363763,-111.911152,Arizona,Fast food
30,Taco Bell,33.363763,-111.911152,Arizona,Fast food
31,Taco Bell,33.609206,-112.356741,Arizona,Fast food
32,Taco Bell,33.537573,-111.885038,Arizona,Fast food
33,Taco Bell,33.613253,-111.926347,Arizona,Fast food
34,Taco Bell,33.40627,-111.978863,Arizona,Fast food
35,Taco Bell,33.639046,-112.149911,Arizona,Fast food
36,Burger King,33.524418,-112.116097,Arizona,Fast food
37,Burger King,33.524418,-112.116097,Arizona,Fast food
38,Burger King,33.612761,-111.926225,Arizona,Fast food
39,Burger King,33.638127,-112.332204,Arizona,Fast food
40,Burger King,32.398868,-110.956718,Arizona,Fast food
41,McDonald's,35.257,-112.191842,Arizona,Fast food
42,McDonald's,33.971666,-112.725207,Arizona,Fast food
43,McDonald's,32.191204,-110.7904,Arizona,Fast food
44,McDonald's,33.638752,-112.355201,Arizona,Fast food
45,McDonald's,32.267251,-110.893249,Arizona,Fast food
46,McDonald's,32.235881,-110.910004,Arizona,Fast food
47,McDonald's,32.381356,-111.047645,Arizona,Fast food
48,McDonald's,32.251125,-111.015037,Arizona,Fast food
49,McDonald's,32.23654,-110.946007,Arizona,Fast food
50,McDonald's,33.378656,-111.928668,Arizona,Fast food
51,McDonald's,33.327487,-111.96308,Arizona,Fast food
52,McDonald's,33.406786,-111.958707,Arizona,Fast food
53,McDonald's,34.135345,-109.288102,Arizona,Fast food
54,McDonald's,33.582458,-111.881603,Arizona,Fast food
55,McDonald's,33.638154,-112.277091,Arizona,Fast food
56,McDonald's,31.554576,-110.279391,Arizona,Fast food
57,McDonald's,34.198953,-110.017716,Arizona,Fast food
58,McDonald's,33.538552,-111.883811,Arizona,Fast food
59,McDonald's,34.250356,-110.028605,Arizona,Fast food
60,McDonald's,34.863333,-111.801615,Arizona,Fast food
61,Subway,33.456407,-112.274322,Arizona,Fast food
62,Subway,33.565182,-112.252888,Arizona,Fast food
63,McDonald's,33.480693,-111.985721,Arizona,Fast food
64,McDonald's,33.494692,-112.237305,Arizona,Fast food
65,McDonald's,33.422931,-112.222937,Arizona,Fast food
66,McDonald's,33.640785,-112.066068,Arizona,Fast food
67,McDonald's,33.581495,-112.133607,Arizona,Fast food
68,McDonald's,33.752474,-111.992502,Arizona,Fast food
69,McDonald's,33.480529,-112.183653,Arizona,Fast food
70,McDonald's,33.407506,-112.013806,Arizona,Fast food
71,McDonald's,33.407506,-112.013806,Arizona,Fast food
72,McDonald's,33.480432,-112.001577,Arizona,Fast food
73,McDonald's,33.683725,-112.107786,Arizona,Fast food
74,McDonald's,33.683725,-112.107786,Arizona,Fast food
75,McDonald's,33.393527,-111.877841,Arizona,Fast food
76,McDonald's,33.652458,-112.256095,Arizona,Fast food
77,McDonald's,33.50931,-112.205085,Arizona,Fast food
78,McDonald's,34.150392,-114.289281,Arizona,Fast food
79,McDonald's,33.681068,-112.238446,Arizona,Fast food
80,McDonald's,31.366015,-110.941268,Arizona,Fast food
81,McDonald's,33.366153,-111.858475,Arizona,Fast food
82,McDonald's,33.423251,-111.753504,Arizona,Fast food
83,McDonald's,35.21911,-114.00902,Arizona,Fast food
84,McDonald's,33.553085,-112.17976,Arizona,Fast food
85,McDonald's,33.567481,-112.18517,Arizona,Fast food
86,McDonald's,33.596774,-112.16812,Arizona,Fast food
87,McDonald's,33.378145,-111.722807,Arizona,Fast food
