,name,geometry.location.lat,geometry.location.lng,State,Type
0,Foods Co.,36.734168,-119.7350281, California,Grocery
1,Foods Co.,36.806153,-119.859586, California,Grocery
2,The Market,36.838813,-119.8249406, California,Grocery
3,Food 4 Less,36.8652778,-119.7405556, California,Grocery
4,Grocery Outlet,36.80936,-119.70139, California,Grocery
5,Grocery Outlet,36.751553,-119.71928, California,Grocery
6,Foods Co.,36.3289994,-119.6759451, California,Grocery
7,Grocery Outlet Bargain Market,36.7397766,-119.7813873, California,Grocery
8,General Food Store,36.4158275,-119.0992163, California,Grocery
9,Grocery Outlet,36.79475,-119.78896, California,Grocery
10,Sprouts Farmers Market,36.83641,-119.69845, California,Grocery
11,Sprouts Farmers Market,36.844875,-119.79299, California,Grocery
12,FoodMaxx,36.8167916,-119.7885315, California,Grocery
13,Food 4 Less,36.348245,-119.298654, California,Grocery
14,FoodMaxx,36.809757,-119.69196, California,Grocery
15,Vons,36.8648627,-119.7583563, California,Grocery
16,FoodMaxx,36.73684,-119.69634, California,Grocery
17,Grocery Outlet,36.80914,-119.85753, California,Grocery
18,Grocery Outlet,36.55108,-119.395706, California,Grocery
19,Best Buy Market IGA,36.3441591,-119.6377663, California,Grocery
20,Burger King,32.739923,-116.942156, California,Fast food
21,Burger King,32.805945,-116.971542, California,Fast food
22,Burger King,33.051949,-117.260994, California,Fast food
23,Burger King,39.76117,-121.842187, California,Fast food
24,McDonald's,36.975287,-121.963929, California,Fast food
25,McDonald's,37.365314,-118.39508, California,Fast food
26,Burger King,38.259527,-122.062146, California,Fast food
27,Burger King,34.425812,-117.378018, California,Fast food
28,Burger King,34.419638,-117.291579, California,Fast food
29,Taco Bell,35.398432,-119.109364, California,Fast food
30,Taco Bell,38.927033,-121.087568, California,Fast food
31,Taco Bell,41.755062,-124.193834, California,Fast food
32,Taco Bell,37.492303,-120.872609, California,Fast food
33,Taco Bell,37.517764,-120.84839, California,Fast food
34,McDonald's,33.989111,-118.31236, California,Fast food
35,McDonald's,34.415365,-118.464489, California,Fast food
36,McDonald's,33.887088,-118.379032, California,Fast food
37,McDonald's,37.288978,-120.454784, California,Fast food
38,McDonald's,34.041633,-118.308538, California,Fast food
39,McDonald's,37.670921,-121.031266, California,Fast food
40,McDonald's,33.872499,-118.249899, California,Fast food
41,McDonald's,36.545447,-119.376746, California,Fast food
42,McDonald's,37.460186,-122.137635, California,Fast food
43,McDonald's,38.596735,-121.415696, California,Fast food
44,McDonald's,38.580839,-121.531005, California,Fast food
45,McDonald's,38.083895,-122.232565, California,Fast food
46,McDonald's,34.170497,-118.289434, California,Fast food
47,McDonald's,33.964895,-117.697501, California,Fast food
48,McDonald's,38.00878,-122.271288, California,Fast food
49,McDonald's,34.077272,-118.13938, California,Fast food
50,McDonald's,33.726842,-117.889116, California,Fast food
51,McDonald's,36.607914,-121.855982, California,Fast food
52,McDonald's,36.607914,-121.855982, California,Fast food
53,McDonald's,38.676763,-121.750518, California,Fast food
54,McDonald's,36.916716,-121.775824, California,Fast food
55,Taco Bell,36.838733,-119.847902, California,Fast food
56,Taco Bell,36.851564,-119.775033, California,Fast food
57,Taco Bell,37.372189,-122.047663, California,Fast food
58,Taco Bell,38.260137,-122.053517, California,Fast food
59,Taco Bell,37.981376,-122.067541, California,Fast food
60,Taco Bell,37.953026,-122.059777, California,Fast food
61,Taco Bell,36.51788,-119.563527, California,Fast food
62,Taco Bell,35.134484,-120.605221, California,Fast food
63,Taco Bell,35.121085,-120.612819, California,Fast food
64,Taco Bell,35.037452,-120.483624, California,Fast food
65,Taco Bell,35.389522,-119.003386, California,Fast food
66,Taco Bell,35.389522,-119.003386, California,Fast food
67,Taco Bell,35.380387,-119.020827, California,Fast food
68,Taco Bell,36.227047,-119.330843, California,Fast food
69,Taco Bell,36.208664,-119.342028, California,Fast food
70,Subway,33.727985,-117.885151, California,Fast food
71,Subway,33.6964,-117.885408, California,Fast food
72,Subway,33.769219,-117.835744, California,Fast food
73,Burger King,33.895706,-118.22063, California,Fast food
74,Burger King,33.895706,-118.22063, California,Fast food
75,Burger King,33.895706,-118.22063, California,Fast food
76,McDonald's,32.626972,-117.08742, California,Fast food
77,Burger King,38.677958,-121.2652, California,Fast food
78,Burger King,38.677958,-121.2652, California,Fast food
79,McDonald's,39.52263,-122.21168, California,Fast food
80,Burger King,37.694563,-122.085455, California,Fast food
81,Burger King,37.294339,-121.950871, California,Fast food
82,Burger King,38.632,-121.3288, California,Fast food
83,Burger King,35.474274,-120.654576, California,Fast food
84,Burger King,38.06753,-122.168337, California,Fast food
85,Burger King,34.891772,-117.001755, California,Fast food
86,Burger King,33.872425,-118.118195, California,Fast food
87,Burger King,34.084904,-117.965034, California,Fast food
88,Burger King,38.00562,-121.755602, California,Fast food
89,McDonald's,38.394035,-122.818689, California,Fast food
90,Subway,32.832368,-117.159573, California,Fast food
91,McDonald's,36.606641,-121.846898, California,Fast food
92,Taco Bell,38.745554,-121.225728, California,Fast food
93,Taco Bell,38.577614,-121.549103, California,Fast food
94,Taco Bell,38.577614,-121.549103, California,Fast food
95,Taco Bell,38.707036,-121.313446, California,Fast food
96,Taco Bell,32.742935,-117.042061, California,Fast food
97,Taco Bell,34.259305,-118.304633, California,Fast food
98,Taco Bell,34.189096,-118.941206, California,Fast food
99,Taco Bell,34.189096,-118.941206, California,Fast food
100,Taco Bell,33.710357,-116.289028, California,Fast food
101,Taco Bell,34.207937,-118.623816, California,Fast food
102,Taco Bell,33.160686,-117.346057, California,Fast food
103,Taco Bell,33.729885,-117.998453, California,Fast food
104,Taco Bell,38.706616,-121.271304, California,Fast food
105,Burger King,34.034233,-117.974457, California,Fast food
106,Burger King,33.693207,-117.3367, California,Fast food
107,Burger King,36.202495,-121.129794, California,Fast food
108,Burger King,34.098217,-118.343842, California,Fast food
109,Burger King,32.584401,-117.108462, California,Fast food
110,Burger King,34.136352,-117.196598, California,Fast food
111,Burger King,34.153534,-118.258232, California,Fast food
112,Burger King,34.127256,-118.258034, California,Fast food
113,Burger King,34.142403,-118.239105, California,Fast food
114,Burger King,33.759965,-117.954612, California,Fast food
115,Burger King,38.250443,-121.29188, California,Fast food
116,Burger King,33.859432,-117.975983, California,Fast food
117,Burger King,36.735702,-119.744933, California,Fast food
118,Burger King,36.771681,-119.864043, California,Fast food
119,Burger King,36.771681,-119.864043, California,Fast food
120,Burger King,37.532711,-121.958591, California,Fast food
121,Burger King,37.552478,-121.978771, California,Fast food
122,Burger King,37.552478,-121.978771, California,Fast food
123,Burger King,40.580032,-124.146682, California,Fast food
124,SUBWAY®,37.548317,-121.989071, California,Fast food
125,Subway,33.984452,-118.394607, California,Fast food
126,Subway,37.37333,-122.087798, California,Fast food
127,Subway,38.56098,-121.734688, California,Fast food
128,Subway,33.615869,-117.900471, California,Fast food
129,Subway,32.776143,-117.154311, California,Fast food
