,name,geometry.location.lat,geometry.location.lng,State,Type
0,Market Street,32.3967814,-99.7633502, Texas,Grocery
1,Natural Grocers,32.4098307,-99.7727581, Texas,Grocery
2,ALDI,32.4064605,-99.7868813, Texas,Grocery
3,United Supermarkets,32.4110004,-99.4918374, Texas,Grocery
4,Spring Market,31.9698158,-99.9618331, Texas,Grocery
5,Lowe's,32.2130941,-99.79582, Texas,Grocery
6,West Dale Meat Market & Deli,31.9575367,-99.9677937, Texas,Grocery
7,Hiway Grocery,32.1347881,-99.7426108, Texas,Grocery
8,Stewart Grocery,32.2805177,-99.8292213, Texas,Grocery
9,Novice grocery,31.9895873,-99.6236862, Texas,Grocery
10,Walmart,31.7203082,-99.9607415, Texas,Grocery
11,Vickie's,32.20996,-99.79804, Texas,Grocery
12,Walmart Supercenter,32.411045,-99.7814628, Texas,Grocery
13,Dollar General,31.7367684,-99.9486906, Texas,Grocery
14,Allsup's Convenience Store,31.8119016,-99.4225442, Texas,Grocery
15,Dollar General,31.960368,-99.9634051, Texas,Grocery
16,Family Dollar,32.2152224,-99.7956314, Texas,Grocery
17,United Supermarkets Pharmacy,32.396835,-99.7633201, Texas,Grocery
18,Allsup's Convenience Store,31.7461052,-99.9555018, Texas,Grocery
19,Family Dollar,31.8124586,-99.4236506, Texas,Grocery
20,Taco Bell,33.007329,-96.554127, Texas,Fast food
21,Taco Bell,32.274786,-95.306757, Texas,Fast food
22,Burger King,29.88081,-95.683922, Texas,Fast food
23,Burger King,29.88081,-95.683922, Texas,Fast food
24,Burger King,33.762134,-96.581587, Texas,Fast food
25,McDonald's,26.243395,-98.4423, Texas,Fast food
26,Burger King,28.70574,-100.48395, Texas,Fast food
27,Burger King,30.69488984,-96.36236943, Texas,Fast food
28,Burger King,29.70529415,-95.4730184, Texas,Fast food
29,Subway,29.905505,-96.876605, Texas,Fast food
30,Subway,27.761418,-98.22821, Texas,Fast food
31,Burger King,29.21207,-99.778349, Texas,Fast food
32,Burger King,33.645878,-96.612181, Texas,Fast food
33,McDonald's,33.158926,-96.680845, Texas,Fast food
34,Subway,32.978659,-96.591288, Texas,Fast food
35,Subway,32.643919,-97.075422, Texas,Fast food
36,Subway,29.091554,-97.284129, Texas,Fast food
37,Subway,35.161595,-101.90514, Texas,Fast food
38,Subway,31.53293,-97.19316, Texas,Fast food
39,Subway,32.735363,-97.769207, Texas,Fast food
40,Taco Bell,30.023985,-93.843028, Texas,Fast food
41,Taco Bell,32.809844,-97.425247, Texas,Fast food
42,Taco Bell,30.080429,-94.163022, Texas,Fast food
43,Taco Bell,30.080429,-94.163022, Texas,Fast food
44,Taco Bell,30.080429,-94.163022, Texas,Fast food
45,Taco Bell,32.746398,-96.994926, Texas,Fast food
46,Taco Bell,32.823978,-97.185513, Texas,Fast food
47,Subway,29.985963,-95.336909, Texas,Fast food
48,Subway,29.75644,-95.367738, Texas,Fast food
49,Subway,29.723702,-95.419112, Texas,Fast food
50,Subway,29.659316,-95.508549, Texas,Fast food
51,Subway,29.516969,-98.499215, Texas,Fast food
52,Taco Bell,32.451319,-99.780855, Texas,Fast food
53,Taco Bell,32.66235,-96.890538, Texas,Fast food
54,Taco Bell,31.095156,-97.805963, Texas,Fast food
55,Taco Bell,31.095156,-97.805963, Texas,Fast food
